id,sha256,bucket,model,iso,compression,width,height,size_bytes
ref-00148.nef,a44901f8fcda3f94bd2efb6191171a2eef03866cb64356633da65714c3905dfa,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23634944
ref-00149.nef,8e66f58cd9211af3e9623ec5f05f0ebb72d1ab3472a5fab04f0337333baf750b,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23583744
ref-00150.nef,2acefb8862728ba59cdf8f0f8508a610d88842041bfe7e198c636b0d10bd7eff,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23508480
ref-00151.nef,2adfcb45ff03e068374d92542c6de9dde734b0d3e1dc4a3e49641e9812ff7e09,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23467520
ref-00152.nef,e78d390216e74d28ab82ea4744b7c7c477456bc9170355cd52076579ad03b71c,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23520256
ref-00153.nef,27ab7f282f095b23941018cd42d9bc2bad21707c199d4a05adc1b8d9be16b6c8,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23318528
ref-00154.nef,a340729da23d4843ae9fe1057274b92b960a8396629f43cbb314bb03f601d55d,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23394304
ref-00155.nef,c1645352aa9eabf2710f1cd73d08750ed9bbc21d6daeb66d637ad1ca2c0a84b2,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23429632
ref-00156.nef,a9c395eaf4fdbbb95f664bc3f4cf2d56586046a20709755bc4748f1fb0247dbf,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23224320
ref-00157.nef,d47eee486803d70f88367386c74394d48b6a25154e484116bcbd3dc55c38de49,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23907328
ref-00158.nef,bb386c497cf6012336cef6f5da7a375ae053505e6fc4fec6f79eaf464c60056f,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23713792
ref-00159.nef,355b9f8ef86cc3979f82a97767682d6134d44fd650bb57169337cd76b21558f9,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23542784
ref-00160.nef,210c192f627264f1feb328f9db5ea8dce4b0534052b3aa847e6f45f461e4708c,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23247872
ref-00161.nef,486412043b1c745137c2b2de63f5fc433be8a9af4c42509e32c9fd8deb3c22a0,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23694336
ref-00162.nef,6b6d4ac148eaaf2368b0e35dd07f9236b4032caafad6091367a7ab379414984e,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23886848
ref-00163.nef,c7241dbfa0fe82b316a697ae05256008e24638d9eef16a45596407501532fde6,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23751168
ref-00164.nef,db7aaa8613f2e263a023cf97935c1472c9fccf988641ab457cfe005951f8a1b6,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23851008
